rank,name,About,City,State,Graduation Rate,College Readiness,Enrollment 9-12,Math Proficiency,Student-Teacher Ratio,Reading Proficiency,STEM Index
1131,The Woodlands High School,"The Woodlands High School is ranked 133rd within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at The Woodlands High School is 53%. The total minority enrollment is 45%, and 12% of students are economically disadvantaged. The Woodlands High School is 1 of 8 high schools in the Conroe Independent School District.",The Woodlands,TX,95.7,47.723,4361,59.0,18.0,85.0,75.9043046
1132,Cinco Ranch High School,"Cinco Ranch High School is ranked 134th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Cinco Ranch High School is 53%. The total minority enrollment is 61%, and 37% of students are economically disadvantaged. Cinco Ranch High School is 1 of 8 high schools in the Katy Independent School District.",Katy,TX,95.1,47.909,3656,62.0,17.0,77.0,73.47689668
1133,Temecula Preparatory,"Temecula Preparatory is ranked 153rd within California. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Temecula Preparatory is 63%. The total minority enrollment is 62%, and 17% of students are economically disadvantaged. Temecula Preparatory is the only high school in the Temecula Preparatory District.",Winchester,CA,90.9,53.736,313,41.0,19.0,80.0,56.47727273
1134,Idea Eastside College Preparatory,"Idea Eastside College Preparatory is ranked 135th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Idea Eastside College Preparatory is 100%. The total minority enrollment is 98%, and 90% of students are economically disadvantaged. Idea Eastside College Preparatory is 1 of 23 high schools in the IDEA Public Schools.",San Antonio,TX,,56.154,270,66.0,14.0,53.0,16.93560606
1135,Huntington Park Inst. of Applied Medicine (HPIAM),Huntington Park Inst. of Applied Medicine (HPIAM) is ranked 154th within California. Students have the opportunity to take Advanced Placement&#174,Huntington Park,CA,97.9,47.348,711,30.0,22.0,69.0,
1136,Madison High School,"Madison High School is ranked 52nd within New Jersey. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Madison High School is 66%. The total minority enrollment is 25%, and 11% of students are economically disadvantaged. Madison High School is the only high school in the Madison Public School District.",Madison,NJ,95.8,54.265,814,96.0,12.0,73.0,74.78896104
1137,Schaumburg High School,Schaumburg High School is ranked 50th within Illinois. Students have the opportunity to take Advanced Placement&#174,Schaumburg,IL,93.1,44.531,2340,51.0,16.0,39.0,65.10471907
1138,Northern Utah Academy for Math Engineering and Science,"Northern Utah Academy for Math Engineering and Science is ranked seventh within Utah. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Northern Utah Academy for Math Engineering and Science is 37%. The total minority enrollment is 25%, and 10% of students are economically disadvantaged. Northern Utah Academy for Math Engineering and Science is 1 of 2 high schools in the No. Ut. Acad. For Math Engineering & Science.",Layton,UT,98.0,28.936,673,65.0,22.0,,
1139,Hoover High School,"Hoover High School is ranked 11th within Alabama. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Hoover High School is 42%. The total minority enrollment is 48%, and 32% of students are economically disadvantaged. Hoover High School is 1 of 2 high schools in the Hoover City.",Hoover,AL,91.36,35.464,2841,53.0,16.0,51.0,66.44791256
1140,Riverview High School,"Riverview High School is ranked 71st within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Riverview High School is 61%. The total minority enrollment is 37%, and 35% of students are economically disadvantaged. Riverview High School is 1 of 15 high schools in the Sarasota County Schools.",Sarasota,FL,89.59276,53.526,2589,64.0,20.0,65.0,56.34655338
1141,Chelsea High School,"Chelsea High School is ranked 32nd within Michigan. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Chelsea High School is 55%. The total minority enrollment is 12%, and 15% of students are economically disadvantaged. Chelsea High School is the only high school in the Chelsea School District.",Chelsea,MI,96.65,45.873,783,64.0,15.0,65.0,78.125
1142,George Ranch High School,"George Ranch High School is ranked 136th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at George Ranch High School is 54%. The total minority enrollment is 65%, and 27% of students are economically disadvantaged. George Ranch High School is 1 of 6 high schools in the Lamar CISD.",Richmond,TX,96.0,40.129,2511,74.0,20.0,80.0,51.92259771
1143,Uplift Summit International High School,"Uplift Summit International High School is ranked 137th within Texas. Students have the opportunity to take International Baccalaureate coursework and exams. The IB participation rate at Uplift Summit International High School is 96%. The total minority enrollment is 96%, and 77% of students are economically disadvantaged. Uplift Summit International High School is 1 of 10 high schools in the Uplift Education School District.",Arlington,TX,94.9,67.787,469,12.0,14.0,63.0,
1144,Law Enforcement Officers Memorial High School,"Law Enforcement Officers Memorial High School is ranked 72nd within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Law Enforcement Officers Memorial High School is 85%. The total minority enrollment is 98%, and 68% of students are economically disadvantaged. Law Enforcement Officers Memorial High School is 1 of 138 high schools in the Miami-Dade County Public Schools.",Miami,FL,98.9011,54.167,287,45.0,17.0,63.0,
1145,River Dell Regional High School,"River Dell Regional High School is ranked 53rd within New Jersey. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at River Dell Regional High School is 52%. The total minority enrollment is 42%, and 2% of students are economically disadvantaged. River Dell Regional High School is the only high school in the River Dell Regional School District.",Oradell,NJ,98.4,47.852,966,96.0,11.0,75.0,79.26403188
1146,Flower Mound High School,"Flower Mound High School is ranked 138th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Flower Mound High School is 44%. The total minority enrollment is 44%, and 7% of students are economically disadvantaged. Flower Mound High School is 1 of 6 high schools in the Lewisville Independent School District.",Flower Mound,TX,98.6,40.479,3542,68.0,16.0,85.0,78.08717185
1147,South Walton High School,"South Walton High School is ranked 73rd within Florida. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at South Walton High School is 74%. The total minority enrollment is 23%, and 20% of students are economically disadvantaged. South Walton High School is 1 of 10 high schools in the Walton County School District.",Santa Rosa Beach,FL,99.18033,51.016,1235,66.0,20.0,73.0,43.55881305
1148,Jefferson Senior High School,"Jefferson Senior High School is ranked 18th within Minnesota. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Jefferson Senior High School is 43%. The total minority enrollment is 36%, and 29% of students are economically disadvantaged. Jefferson Senior High School is 1 of 7 high schools in the Bloomington Public School District.",Bloomington,MN,90.81,39.0,1637,52.0,34.0,72.0,64.14440397
1149,Park Hill High School,"Park Hill High School is ranked 10th within Missouri. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Park Hill High School is 54%. The total minority enrollment is 39%, and 25% of students are economically disadvantaged. Park Hill High School is 1 of 3 high schools in the Park Hill.",Kansas City,MO,93.97,41.134,1857,63.0,18.0,73.0,65.29975573
1150,YES Prep - Brays Oaks,"YES Prep - Brays Oaks is ranked 139th within Texas. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at YES Prep - Brays Oaks is 93%. The total minority enrollment is 86%, and 86% of students are economically disadvantaged. YES Prep - Brays Oaks is 1 of 12 high schools in the YES Prep Public Schools Inc.",Houston,TX,96.9,56.641,561,40.0,17.0,57.0,17.89081017
1151,Geneseo Middle School High School,"Geneseo Middle School High School is ranked 113rd within New York. Students have the opportunity to take Advanced Placement&#174; coursework and exams. The AP&#174; participation rate at Geneseo Middle School High School is 65%. The total minority enrollment is 17%, and 38% of students are economically disadvantaged. Geneseo Middle School High School is the only high school in the Geneseo Central School District.",Geneseo,NY,94.0,48.529,273,88.0,8.0,84.0,62.82169118
1152,Commack High School,"Commack High School is ranked 114th within New York. Students have the opportunity to take International Baccalaureate coursework and exams. The IB participation rate at Commack High School is 62%. The total minority enrollment is 26%, and 15% of students are economically disadvantaged. Commack High School is the only high school in the Commack Union Free School District.",Commack,NY,99.0,56.435,1841,84.0,13.0,93.0,
